schlcode,c_size,c_boys,c_girls,c_numcl,c_pik,c_status,c_leom,c_tip,c_num5rd,c_type,flgrm5,mrkgrm5,ngrm5,flmth5,mrkmth5,nmth5,towncode,popcode,tip_a,grade,classid,classize,_type_,_freq_,cohsize,mathsize,avgmath,passmath,verbsize,avgverb,passverb,studchk,misskov2,missagg,nmiss_k,nmiss_a,classct,math_n,flmath_n,nmath_n,verb_n,flverb_n,nverb_n,impute,nverb_m,nmath_m,tip_s,townid,tipuach
41197,98,38,60,17,1,1,1,1,3,3,13.41,81,82,4.8800001,83,82,84004,11,12,5,3,34,0,3,98,29,86.209999,3.4000001,29,79.550003,13.8,1,0,0,1,0,3,81.548912,3.5890908,55,80.746002,10.916364,55,0,,,12,84004,12
41197,98,38,60,17,1,1,1,1,3,3,13.41,81,82,4.8800001,83,82,84004,11,12,5,2,33,0,3,98,27,85.955925,7.5096297,27,81.51741,18.48963,,1,0,1,0,3,81.548912,3.5890908,55,80.746002,10.916364,55,1,27,27,12,84004,12
41198,51,23,28,12,1,1,1,1,2,2,17.780001,79,45,0,81,45,84004,11,6,5,1,25,0,2,51,21,80.669998,0,21,81.43,9.5,1,0,0,0,0,2,80.712669,0,45,79.334,17.766666,45,0,,,6,84004,6
41198,51,23,28,12,1,1,1,1,2,2,17.780001,79,45,0,81,45,84004,11,6,5,2,26,0,2,51,24,80.75,0,24,77.5,25,1,0,0,0,0,2,80.712669,0,45,79.334,17.766666,45,0,,,6,84004,6
41199,109,56,53,18,1,1,1,1,3,3,14.56,83,103,7.6900001,83,104,84004,11,5,5,1,37,0,3,109,33,84.760002,6.0999999,33,84.580002,18.200001,1,0,0,0,0,3,82.460289,7.7067308,104,82.747963,14.584466,103,0,,,5,84004,5
41199,109,56,53,18,1,1,1,1,3,3,14.56,83,103,7.6900001,83,104,84004,11,5,5,2,37,0,3,109,37,76.889999,10.8,36,79.139999,13.9,1,0,0,0,0,3,82.460289,7.7067308,104,82.747963,14.584466,103,0,,,5,84004,5
41199,109,56,53,18,1,1,1,1,3,3,14.56,83,103,7.6900001,83,104,84004,11,5,5,3,35,0,3,109,34,86.290001,5.9000001,34,84.790001,11.8,1,0,0,0,0,3,82.460289,7.7067308,104,82.747963,14.584466,103,0,,,5,84004,5
41202,112,70,42,22,1,1,1,1,3,3,11.34,81,97,8.3299999,81,96,84004,11,4,5,1,38,0,3,112,33,81.480003,15.2,33,81.449997,6.0999999,1,0,0,0,0,3,80.583229,8.3416662,96,81.182579,11.368041,97,0,,,4,84004,4
41202,112,70,42,22,1,1,1,1,3,3,11.34,81,97,8.3299999,81,96,84004,11,4,5,2,37,0,3,112,29,84.690002,3.4000001,30,83.599998,6.6999998,1,0,0,0,0,3,80.583229,8.3416662,96,81.182579,11.368041,97,0,,,4,84004,4
41202,112,70,42,22,1,1,1,1,3,3,11.34,81,97,8.3299999,81,96,84004,11,4,5,3,37,0,3,112,34,76.209999,5.9000001,34,78.790001,20.6,1,0,0,0,0,3,80.583229,8.3416662,96,81.182579,11.368041,97,0,,,4,84004,4
41203,119,59,60,17,1,1,1,1,3,3,18.27,79,104,9.6199999,75,104,84004,11,7,5,2,39,0,3,119,33,68.699997,24.200001,32,79.089996,12.5,1,0,0,1,0,3,74.104408,13.236765,68,80.223579,14.902985,67,0,,,7,84004,7
41203,119,59,60,17,1,1,1,1,3,3,18.27,79,104,9.6199999,75,104,84004,11,7,5,3,40,0,3,119,35,79.199997,2.9000001,35,81.260002,17.1,1,0,0,1,0,3,74.104408,13.236765,68,80.223579,14.902985,67,0,,,7,84004,7
41203,119,59,60,17,1,1,1,1,3,3,18.27,79,104,9.6199999,75,104,84004,11,7,5,1,40,0,3,119,36,76.691666,2.7883334,37,76.784325,24.367027,,1,0,1,0,3,74.104408,13.236765,68,80.223579,14.902985,67,1,37,36,7,84004,7
41206,67,38,29,12,2,1,1,2,2,2,25.4,75,63,25.370001,73,67,84004,12,10,5,1,34,0,2,67,34,75.349998,26.5,33,74.029999,33.299999,1,0,0,0,0,2,73.41433,25.367165,67,75.41095,25.395239,63,0,,,10,84004,10
41206,67,38,29,12,2,1,1,2,2,2,25.4,75,63,25.370001,73,67,84004,12,10,5,2,33,0,2,67,33,71.419998,24.200001,30,76.93,16.700001,1,0,0,0,0,2,73.41433,25.367165,67,75.41095,25.395239,63,0,,,10,84004,10
41208,92,42,50,16,2,1,1,1,4,3,17.719999,82,79,27.5,73,80,84004,12,7,5,1,28,0,3,82,27,64.480003,51.900002,26,80.190002,30.799999,1,0,0,0,0,3,72.475128,27.51125,80,82.137215,17.729115,79,0,,,7,84004,7
41208,92,42,50,16,2,1,1,1,4,3,17.719999,82,79,27.5,73,80,84004,12,7,5,2,26,0,3,82,26,78.269997,7.6999998,26,83.5,7.6999998,1,0,0,0,0,3,72.475128,27.51125,80,82.137215,17.729115,79,0,,,7,84004,7
